project_id,type,planned_date,actual_date,status
P01,DVR,2026-03-07,2026-03-07,done
P01,PVR,2026-04-30,2026-04-30,done
P01,PRA,2026-05-29,,pending
P01,SRA,2026-06-12,,pending
P02,DVR,2026-04-24,2026-04-24,done
P02,PVR,2026-07-07,,risk
P02,PRA,2026-07-28,,pending
P02,SRA,2026-08-07,,pending
P03,DVR,,,done
P03,PVR,2026-09-07,,pending
P03,PRA,2026-05-15,,pending
P03,SRA,2026-10-21,,pending
P04,DVR,,,done
P04,PVR,2026-05-13,2026-05-13,done
P04,PRA,2026-05-29,,pending
P04,SRA,2026-06-17,,risk
P05,DVR,,,done
P05,PVR,2026-07-23,,pending
P05,PRA,2026-08-20,,pending
P05,SRA,2026-09-10,,pending
P06,DVR,2026-06-25,,pending
P06,PVR,2026-08-28,,pending
P06,PRA,2026-09-23,,pending
P06,SRA,2026-10-08,,pending
P07,DVR,2026-05-13,,risk
P08,PVR,2026-09-07,,pending
P08,PRA,2026-10-07,,pending
P09,PVR,2027-04-14,,pending
P09,PRA,2027-05-12,,pending
P10,EA,2026-05-13,2026-05-13,done
P11,EA,2026-05-13,2026-05-13,done
P12,EA,2026-05-13,2026-05-13,done
P12,ER1,2026-06-26,,risk
P12,ER2,2026-07-24,,pending
P12,CA,2026-08-22,,pending
P13,ER2,2026-07-03,,risk
P14,ER2,2026-07-03,,risk
